ID,ecotype,species,lat,long,depth,sal_bottom,temp_bottom,sal_surface,temp_surface,Geothermal,current_velocity
IE_2009_4703,shelf,vic,-66.0003,142.0143,248,34.62471,-0.06226,34.1249,-1.39481,60.22958,0.08438
IE_2009_4707,shelf,vic,-66.00388,142.31378,240,34.63294,-0.06226,34.11992,-1.34158,61.65601,0.08438
IE_2009_4713,shelf,vic,-66.53482,141.98268,521,34.57058,0.10225,34.18422,-1.50693,55.66922,0.05142
IE_2009_4726,shelf,vic,-66.54985,142.95882,875,34.57205,-0.04853,34.18728,-1.48437,62.08624,0.04339
IE_2009_4731,shelf,vic,-66.00395,143.71608,440,34.62927,-0.85469,34.13208,-1.29733,66.57858,0.12215
IE_2009_4734,shelf,vic,-66.53853,144.9725,451,34.59759,-0.85469,34.14199,-1.46885,67.40088,0.09108
IE_2009_4753,shelf,vic,-66.38878,140.42885,791,34.59465,0.10225,34.15219,-1.49446,51.73711,0.08471
IE_2009_4754,shelf,vic,-66.00395,143.71608,440,34.62927,-0.85469,34.13208,-1.29733,66.57858,0.12215
IE_2009_4763,shelf,vic,-66.73872,144.30702,954,34.59726,-0.85469,34.18145,-1.49032,64.68021,0.06877
IE_2009_4767,shelf,vic,-66.31638,142.00037,257,34.58647,0.10225,34.17477,-1.43947,57.24562,0.07364
N0071,shelf,vic,-75.621667,169.8045,521,34.80826,-1.15541,34.39988,-1.38949,72.19267,0.02013
N0072,shelf,vic,-75.621667,169.8045,521,34.80826,-1.15541,34.39988,-1.38949,72.19267,0.02013
N0073,shelf,vic,-75.621667,169.8045,521,34.80826,-1.15541,34.39988,-1.38949,72.19267,0.02013
N0074,shelf,vic,-75.621667,169.8045,521,34.80826,-1.15541,34.39988,-1.38949,72.19267,0.02013
N0075,shelf,vic,-75.621667,169.8045,521,34.80826,-1.15541,34.39988,-1.38949,72.19267,0.02013
N0078,island,vic,-66.556833,162.569833,85,34.69757,0.00426,34.04999,-1.24647,97.96281,0.01074
N0079,island,vic,-66.556833,162.569833,85,34.69757,0.00426,34.04999,-1.24647,97.96281,0.01074
N0080,island,vic,-66.556833,162.569833,85,34.69757,0.00426,34.04999,-1.24647,97.96281,0.01074
N0121,island,vic,-67.828833,-179.587,402.5,34.6894,0.28293,34.03896,-1.192,85.73727,0.03572
N0122,island,vic,-67.828833,-179.587,402.5,34.6894,0.28293,34.03896,-1.192,85.73727,0.03572
N0123,island,vic,-67.3875,-179.897167,143.5,34.68768,0.24716,34.02871,-1.11122,86.75013,NA
N0125,island,vic,-67.3875,-179.897167,143.5,34.68768,0.24716,34.02871,-1.11122,86.75013,NA
PDIVA-C,shelf,vic,-77.5717,163.5117,0,34.84002,-0.27628,34.37539,-1.52686,77.72217,NA
PDIVA-D,shelf,vic,-77.5717,163.5117,0,34.84002,-0.27628,34.37539,-1.52686,77.72217,NA
PDIVA-E,shelf,vic,-77.5717,163.5117,0,34.84002,-0.27628,34.37539,-1.52686,77.72217,NA
PDIVA-G,shelf,vic,-77.5717,163.5117,0,34.84002,-0.27628,34.37539,-1.52686,77.72217,NA
PDIVA-I,shelf,vic,-77.5717,163.5117,0,34.84002,-0.27628,34.37539,-1.52686,77.72217,NA
PNG703,shelf,vic,-64.559508,95.3199835,758.2,34.70308,0.30786,33.99436,-1.3749,58.94284,0.12923
PNG708,shelf,vic,-64.5596915,95.31715,778.9,34.70308,0.30786,33.99436,-1.3749,58.94284,0.12923
PNG710,shelf,vic,-64.5596915,95.31715,778.9,34.70308,0.30786,33.99436,-1.3749,58.94284,0.12923
S0185,island,vic,-56.72348,-27.03589,134,34.66417,-0.0927,33.93782,0.11131,NA,0.05189
S0460,island,vic,-56.70875,-27.04858,116,34.66417,-0.0927,33.93782,0.11131,NA,0.05189
S0539-B,island,vic,-58.475,-26.205,161,34.67125,-0.00574,33.92486,-0.41935,NA,0.06723
S0539-D,island,vic,-58.475,-26.205,161,34.67125,-0.00574,33.92486,-0.41935,NA,0.06723
S0990A,island,vic,-57.03366,-26.75914,118,34.66441,-0.0927,33.93375,0.01752,NA,0.06393
S0990C,island,vic,-57.03366,-26.75914,118,34.66441,-0.0927,33.93375,0.01752,NA,0.06393
S1312H,island,vic,-61.21769,-54.25476,202,34.62469,-0.01394,34.11058,-0.43578,77.98694,0.02547
S1312I,island,vic,-61.21769,-54.25476,202,34.62469,-0.01394,34.11058,-0.43578,77.98694,0.02547
S4306,island,vic,-60.11104,-34.82669,439,34.66874,0.03286,34.0048,-0.5184,NA,0.04026
S4307,island,vic,-60.11104,-34.82669,439,34.66874,0.03286,34.0048,-0.5184,NA,0.04026
S4308,island,vic,-60.11104,-34.82669,439,34.66874,0.03286,34.0048,-0.5184,NA,0.04026
S4309,island,vic,-60.11104,-34.82669,439,34.66874,0.03286,34.0048,-0.5184,NA,0.04026
